biuro_nazwa;biuro_ogolem;biuro_WPF;biuro_pozostale;dzial_nazwa;dzial_WPF;dzial_pozostale;dzials_nazwa;dzials_WPF;dzials_pozostale;zadanie_num;zadanie_tresc;zadanie_WPF;zadanie_pozostale
"Biuro ds. Inwestycji 0";175.691.559;175.691.559;0;"921 Kultura i ochrona dziedzictwa narodowego 0";85.885.028;0;"92120 Ochrona zabytków i opieka nad zabytkami 0";676.400;0;2186981;"Przygotowanie i wykonanie prac budowlano -konserwatorskich w zabytkowym budynku przy ul.Piotrkowskiej 0";272;676.400
"Biuro ds. Inwestycji 0";175.691.559;175.691.559;0;"921 Kultura i ochrona dziedzictwa narodowego 0";85.885.028;0;"92195 Pozostała działalno ść 0";85.208.628;0;2156731;"Rewitalizacja EC-1 i jej adaptacja na cele kulturalno-artystyczne 0";84.878.628;0
"Biuro ds. Inwestycji 0";175.691.559;175.691.559;0;"921 Kultura i ochrona dziedzictwa narodowego 0";85.885.028;0;"92195 Pozostała działalno ść 0";85.208.628;0;2156741;"Rewitalizacja EC - 1 i jej adaptacja na cele kulturalno-artystyczne - wydatki nie obj 0 ę te umow ą o przygotowanie projektu i umow ą o dofinansowanie";330.000;0
"Biuro ds. Inwestycji 0";175.691.559;175.691.559;0;"926 Kultura fizyczna 0";89.806.531;0;"92601 Obiekty sportowe 0";89.806.531;0;2156781;"Program wykorzystania obszarów rekreacyjnych Łodzi wcelu stworzenia Regionalnego Centrum Rekreacyjno-Sportowo-Konferencyjnego - etap II ""Przebudowa StadionuMiejskiego przy Al. Unii"" 0";69.806.531;0
"Biuro ds. Inwestycji 0";175.691.559;175.691.559;0;"926 Kultura fizyczna 0";89.806.531;0;"92601 Obiekty sportowe 0";89.806.531;0;2156991;"Budowa stadionu przy Al. Piłsudskiego 0";138;20.000.000
"Biuro ds. Rewitalizacji i RozwojuZabudowy Miasta ";4.677.426;248.048;4.429.378;"700 Gospodarka mieszkaniowa ";248.048;4.429.378;"70095 Pozostała działalno ść ";248.048;4.429.378;2185421;"Budowa budynku mieszkalnego z WTBS przy ul. Kaliskiej11/13/15/ 0 3.525.608";17;0
"Biuro ds. Rewitalizacji i RozwojuZabudowy Miasta ";4.677.426;248.048;4.429.378;"700 Gospodarka mieszkaniowa ";248.048;4.429.378;"70095 Pozostała działalno ść ";248.048;4.429.378;2185471;"Zakup lokali mieszkalnych w strefie wielkomiejskiej wnieruchomo 0 ś ciach przeznaczonych do rewitalizacji";0;903.770
"Biuro ds. Rewitalizacji i RozwojuZabudowy Miasta ";4.677.426;248.048;4.429.378;"700 Gospodarka mieszkaniowa ";248.048;4.429.378;"70095 Pozostała działalno ść ";248.048;4.429.378;2191621;"Miasto kamienic - rewitalizacja kwartałów 0";248.048;0
"Biuro Nadzoru Wła ś cicielskiego";88.732.465;42.732.465;46.000.000;"750 Administracja publiczna ";42.732.465;46.000.000;"75095 Pozostała działalno ść ";42.732.465;46.000.000;2167721;"Wniesienie wkładu pieni ęŜ nego na podwy Ŝ szenie kapitału 0 zakładowego oraz obj ę cie udziałów w Sp. z o.o. Port Lotniczy Łód ź im. Władysława Reymonta wynikaj ą ce z realizacji programu ""Rozbudowa Portu Lotniczego Łód ź im. Władysława Reymonta""";23.394.945;0
"Biuro Nadzoru Wła ś cicielskiego";88.732.465;42.732.465;46.000.000;"750 Administracja publiczna ";42.732.465;46.000.000;"75095 Pozostała działalno ść ";42.732.465;46.000.000;2167731;"Wniesienie wkładu pieni ęŜ nego na podwy Ŝ szenie kapitału 0 zakładowego oraz obj ę cie udziałów w Mi ę dzynarodowych Targach Łódzkich Sp. z o.o. wynikaj ą ce z realizacji programu ""Budowa Centrum Konferencyjno - Wystawienniczego MTŁSp. z o.o.""";6.000.200;0
"Biuro Nadzoru Wła ś cicielskiego";88.732.465;42.732.465;46.000.000;"750 Administracja publiczna ";42.732.465;46.000.000;"75095 Pozostała działalno ść ";42.732.465;46.000.000;2167751;"Podwy Ŝ szenie kapitału w Spółce Miejskie Przedsi ę biorstwo 0 Komunikacyjne - Łód ź Spółka z o.o. z siedzib ą w Łodzi wynikaj ą ce z realizacji programu ""Łódzki Tramwaj Regionalny"" zgodnie z URM Nr LXXII/1382/06";5.237.320;0
"Biuro Nadzoru Wła ś cicielskiego";88.732.465;42.732.465;46.000.000;"750 Administracja publiczna ";42.732.465;46.000.000;"75095 Pozostała działalno ść ";42.732.465;46.000.000;2167761;"Wniesienie wkładu pieni ęŜ nego na podwy Ŝ szenie kapitału 0 własnego oraz obj ę cie udziałów w Aqua Park Łód ź Spółka z ograniczon ą odpowiedzialno ś ci ą";8.100.000;0
"Biuro Nadzoru Wła ś cicielskiego";88.732.465;42.732.465;46.000.000;"750 Administracja publiczna ";42.732.465;46.000.000;"75095 Pozostała działalno ść ";42.732.465;46.000.000;2185951;"Wniesienie wkładu pieni ęŜ nego na podwy Ŝ szenie kapitału 0 zakładowego i obj ę cie udziałów w Miejskim Przedsi ę biorstwie Komunikacyjnym - Łód ź Sp. z o.o.";0;35.000.000
"Biuro Nadzoru Wła ś cicielskiego";88.732.465;42.732.465;46.000.000;"750 Administracja publiczna ";42.732.465;46.000.000;"75095 Pozostała działalno ść ";42.732.465;46.000.000;2192741;"Wniesienie wkładu pieni ęŜ nego na podwy Ŝ szenie kapitału 0 zakładowego oraz obj ę cie udziałów w Porcie Lotniczym Łód ź im. Władysława Reymonta Sp. z o.o.";0;2.000.000
"Biuro Nadzoru Wła ś cicielskiego";88.732.465;42.732.465;46.000.000;"750 Administracja publiczna ";42.732.465;46.000.000;"75095 Pozostała działalno ść ";42.732.465;46.000.000;2192751;"Wniesienie wkładu pieni ęŜ nego na podwy Ŝ szenie kapitału 0 zakładowego oraz obj ę cie udziałów w Łódzkim Regionalnym Parku Naukowo-Technologicznym Sp. z o.o.";0;6.000.000
"Biuro Nadzoru Wła ś cicielskiego";88.732.465;42.732.465;46.000.000;"750 Administracja publiczna ";42.732.465;46.000.000;"75095 Pozostała działalno ść ";42.732.465;46.000.000;2192761;"Wniesienie wkładu pieni ęŜ nego na podniesienie kapitału 0 zakładowego oraz obj ę cie udziałów w Widzewskim Towarzystwie Budownictwa Społecznego spółka z o.o.";0;3.000.000
"Centrum 0 Ś wiadcze ń Socjalnych w Łodzi";166.000;0;166.000;"852 Pomoc społeczna 0 ";0;166.000;"85295 Pozostała działalno ść 0 ";0;166.000;2179081;"Zakupy inwestycyjne w Centrum Ś wiadcze ń Socjalnych w 0 Łodzi";0;166.000
"Łódzki O rodek Geodezji ś";3.004.118;2.904.118;100.000;"710 Działalno ść usługowa ";2.904.118;100.000;"71012 O ś rodki dokumentacji geodezyjnej i kartograficznej ";2.904.118;100.000;2174111;"System Informacji o Terenie - Ewidencja Gruntów 0";1.917.527;0
"Łódzki O rodek Geodezji ś";3.004.118;2.904.118;100.000;"710 Działalno ść usługowa ";2.904.118;100.000;"71012 O ś rodki dokumentacji geodezyjnej i kartograficznej ";2.904.118;100.000;2174121;"Budowa systemu archiwizacji Powiatowego ZasobuGeodezyjnego i Kartograficznego w ŁOG 0";885.361;0
"Łódzki O rodek Geodezji ś";3.004.118;2.904.118;100.000;"710 Działalno ść usługowa ";2.904.118;100.000;"71012 O ś rodki dokumentacji geodezyjnej i kartograficznej ";2.904.118;100.000;2174171;"Wdro Ŝ enie Zintegrowanego Systemu Informatycznego 0 wspomagaj ą cego zarz ą dzanie zasobem lokalowym i nieruchomo ś ciami miasta (kontynuacja zadania 2137791)";101.230;0
"Łódzki O rodek Geodezji ś";3.004.118;2.904.118;100.000;"710 Działalno ść usługowa ";2.904.118;100.000;"71012 O ś rodki dokumentacji geodezyjnej i kartograficznej ";2.904.118;100.000;2186021;"Wydatki inwestycyjne na podstawie ustawy Prawogeodezyjne i kartograficzne 0 ";0;100.000
"Miejski O ś rodek Pomocy Społecznej 0 ";0;10.000;100.000;"852 Pomoc społeczna 0 ";0;10.000;"85203 O ś rodki wsparcia 0 ";0;10.000;2189081;"Rehabilitacja seniorów - bud Ŝ et obywatelski 0 ";0;10.000
"Wydział Budynków i Lokali ";52.927.700;48.957.700;3.970.000;"700 Gospodarka mieszkaniowa ";48.957.700;3.970.000;"70001 Zakłady gospodarki mieszkaniowej ";48.957.700;3.870.000;2185611;"Dom Wielopokoleniowy dla osób niespokrewnionych -uruchomienie pilota 0 Ŝ owego budynku mieszkalnego z pul ą mieszka ń przystosowanych dla seniorów";0;3.850.000
"Wydział Budynków i Lokali ";52.927.700;48.957.700;3.970.000;"700 Gospodarka mieszkaniowa ";48.957.700;3.970.000;"70001 Zakłady gospodarki mieszkaniowej ";48.957.700;3.870.000;2185291;"Mia100 Kamienic - AZK Łód ź - Polesie 0";16.704.100;0
"Wydział Budynków i Lokali ";52.927.700;48.957.700;3.970.000;"700 Gospodarka mieszkaniowa ";48.957.700;3.970.000;"70001 Zakłady gospodarki mieszkaniowej ";48.957.700;3.870.000;2185301;"Mia100 Kamienic - AZK Łód ź - Ś ródmie ś cie 0";28.153.600;0
"Wydział Budynków i Lokali ";52.927.700;48.957.700;3.970.000;"700 Gospodarka mieszkaniowa ";48.957.700;3.970.000;"70001 Zakłady gospodarki mieszkaniowej ";48.957.700;3.870.000;2185311;"Mia100 Kamienic - AZK Łód ź - Ś ródmie ś cie - zadanie 0 wieloletnie";4.100.000;0
"Wydział Budynków i Lokali ";52.927.700;48.957.700;3.970.000;"700 Gospodarka mieszkaniowa ";48.957.700;3.970.000;"70001 Zakłady gospodarki mieszkaniowej ";48.957.700;3.870.000;2185541;"AZK Łód ź – Górna - Zagospodarowanie terenu przy siedzibie 0 Rady Osiedla Chojny przy ul. Rzgowskiej 151 - algorytm";0;20.000
"Wydział Budynków i Lokali ";52.927.700;48.957.700;3.970.000;"700 Gospodarka mieszkaniowa ";48.957.700;3.970.000;"70095 Pozostała działalno ść 0 ";0;100.000;2185601;"Przeciwdziałanie zatruciom tlenkiem w ę gla w lokalach 0 komunalnych";0;100.000
"Wydział Bud etu 0 Ŝ";38.062.612;0;38.062.612;"758 Ró 0 Ŝ ne rozliczenia ";0;38.062.612;"75818 Rezerwy ogólne i celowe 0 ";0;38.062.612;2155411;"Rezerwa celowa na inwestycje i zakupy inwestycyjne wplacówkach o 0 ś wiatowych";0;5.064.000
"Wydział Bud etu 0 Ŝ";38.062.612;0;38.062.612;"758 Ró 0 Ŝ ne rozliczenia ";0;38.062.612;"75818 Rezerwy ogólne i celowe 0 ";0;38.062.612;2155421;"Rezerwa celowa na zadania maj ą tkowe realizowane w 0 ramach programów dofinansowywanych ze ś rodków zewn ę trznych";0;500.000
"Wydział Bud etu 0 Ŝ";38.062.612;0;38.062.612;"758 Ró 0 Ŝ ne rozliczenia ";0;38.062.612;"75818 Rezerwy ogólne i celowe 0 ";0;38.062.612;2155431;"Rezerwa celowa na wypłaty odszkodowa ń , realizacj ę 0 wyroków s ą dowych oraz korekt finansowych z tytułu zada ń dofinansowywanych ze ś rodków UE";0;1.000.000
"Wydział Bud etu 0 Ŝ";38.062.612;0;38.062.612;"758 Ró 0 Ŝ ne rozliczenia ";0;38.062.612;"75818 Rezerwy ogólne i celowe 0 ";0;38.062.612;2155441;"Rezerwa celowa na realizacj ę zada ń maj ą tkowych z zakresu 0 zarz ą dzania kryzysowego";0;4.700.000
"Wydział Bud etu 0 Ŝ";38.062.612;0;38.062.612;"758 Ró 0 Ŝ ne rozliczenia ";0;38.062.612;"75818 Rezerwy ogólne i celowe 0 ";0;38.062.612;2155451;"Rezerwa celowa na wydatki zwi ą zane z inicjatywami 0 lokalnymi";0;300.000
"Wydział Bud etu 0 Ŝ";38.062.612;0;38.062.612;"758 Ró 0 Ŝ ne rozliczenia ";0;38.062.612;"75818 Rezerwy ogólne i celowe 0 ";0;38.062.612;2155461;"Rezerwa celowa na realizacj ę programu ""Zielone podwórka"" 0 ";0;200.000
"Wydział Bud etu 0 Ŝ";38.062.612;0;38.062.612;"758 Ró 0 Ŝ ne rozliczenia ";0;38.062.612;"75818 Rezerwy ogólne i celowe 0 ";0;38.062.612;2155471;"Rezerwa celowa dotycz ą ca nierozdysponowanych ś rodków 0 przyznanych w ramach VII edycji konkursu dla jednostekpomocniczych";0;154.612
"Wydział Bud etu 0 Ŝ";38.062.612;0;38.062.612;"758 Ró 0 Ŝ ne rozliczenia ";0;38.062.612;"75818 Rezerwy ogólne i celowe 0 ";0;38.062.612;2155481;"Rezerwa celowa na wykupy nieruchomo ś ci pod inwestycje 0 miejskie";0;3.950.000
"Wydział Bud etu 0 Ŝ";38.062.612;0;38.062.612;"758 Ró 0 Ŝ ne rozliczenia ";0;38.062.612;"75818 Rezerwy ogólne i celowe 0 ";0;38.062.612;2155491;"Rezerwa celowa na inwestycje i zakupy inwestycyjne wzakresie polityki społecznej 0 ";0;500.000
"Wydział Bud etu 0 Ŝ";38.062.612;0;38.062.612;"758 Ró 0 Ŝ ne rozliczenia ";0;38.062.612;"75818 Rezerwy ogólne i celowe 0 ";0;38.062.612;2155492;"Rezerwa celowa na realizacj ę zada ń maj ą tkowych z zakresu 0 zarz ą dzania kryzysowego";0;2.000.000
"Wydział Bud etu 0 Ŝ";38.062.612;0;38.062.612;"758 Ró 0 Ŝ ne rozliczenia ";0;38.062.612;"75818 Rezerwy ogólne i celowe 0 ";0;38.062.612;2192251;"Rezerwa celowa na zadania zwi ą zane z propozycjami 0 zgłoszonymi w ramach bud Ŝ etu obywatelskiego na 2014 rok";0;10.000.000
"Wydział Bud etu 0 Ŝ";38.062.612;0;38.062.612;"758 Ró 0 Ŝ ne rozliczenia ";0;38.062.612;"75818 Rezerwy ogólne i celowe 0 ";0;38.062.612;2192261;"Rezerwa celowa na zadania realizowane przez jednostkipomocnicze Miasta 0 ";0;2.000.000
"Wydział Bud etu 0 Ŝ";38.062.612;0;38.062.612;"758 Ró 0 Ŝ ne rozliczenia ";0;38.062.612;"75818 Rezerwy ogólne i celowe 0 ";0;38.062.612;2192271;"Rezerwa celowa na utrzymanie, zakup i wymian ę systemów 0 informatycznych oraz sprz ę tu medycznego w miejskich placówkach Słu Ŝ by Zdrowia";0;3.694.000
"Wydział Bud etu 0 Ŝ";38.062.612;0;38.062.612;"758 Ró 0 Ŝ ne rozliczenia ";0;38.062.612;"75818 Rezerwy ogólne i celowe 0 ";0;38.062.612;2192281;"Rezerwa celowa na wykonanie prac budowlano-konserwatorskich na zabytkowych obiektach wpisanych dorejestru zabytków zlokalizowanych na Starym Cmentarzuprzy ulicy Ogrodowej 0 ";0;1.000.000
"Wydział Bud etu 0 Ŝ";38.062.612;0;38.062.612;"758 Ró 0 Ŝ ne rozliczenia ";0;38.062.612;"75818 Rezerwy ogólne i celowe 0 ";0;38.062.612;2192291;"Rezerwa celowa na wykonanie prac budowlano-konserwatorskich na zabytkowych obiektach wpisanych dorejestru zabytków zlokalizowanych na cmentarzu 0 Ŝ ydowskim przy ulicy Brackiej";0;500.000
"Wydział Bud etu 0 Ŝ";38.062.612;0;38.062.612;"758 Ró 0 Ŝ ne rozliczenia ";0;38.062.612;"75818 Rezerwy ogólne i celowe 0 ";0;38.062.612;2192301;"Rezerwa celowa na zakupy inwestycyjne w zakresiepoprawy bezpiecze 0 ń stwa w pojazdach MPK";0;2.000.000
"Wydział Bud etu 0 Ŝ";38.062.612;0;38.062.612;"758 Ró 0 Ŝ ne rozliczenia ";0;38.062.612;"75818 Rezerwy ogólne i celowe 0 ";0;38.062.612;2192361;"Rezerwa celowa na Realizacj ę Programu Bezpiecze ń stwa 0 Ruchu Drogowego";0;500.000
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80101 Szkoły podstawowe 0 ";0;9.098.730;2182981;"Modernizacja pływalni w Szkole Podstawowej nr 190 - ul.Malczewskiego 37/ 0 4.000.000";47;0
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80101 Szkoły podstawowe 0 ";0;9.098.730;2183351;"Budowa skoczni i bie Ŝ ni w Szkole Podstawowej nr 55 - ul. 0 Mackiewicza 8 - algorytm";0;15.000
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80101 Szkoły podstawowe 0 ";0;9.098.730;2183421;"Budowa kortu tenisowego o twardej nawierzchni - jakouzupełnienie kompleksu sportowego przy SzkolePodstawowej nr 12 przy ul. Jurczy 0 ń skiego 1/3 - algorytm i konkurs";0;611.730
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80101 Szkoły podstawowe 0 ";0;9.098.730;2183441;"Rozbudowa monitoringu zewn ę trznego budynku Szkoły 0 Podstawowej nr 206 - ul. Łozowa 9 - algorytm";0;9.000
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80101 Szkoły podstawowe 0 ";0;9.098.730;2183541;"Budowa ogólnodost ę pnego boiska wielofunkcyjnego przy 0 Szkole Podstawowej nr 26 - ul. Pogonowskiego 33 - bud Ŝ et obywatelski";0;820.000
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80101 Szkoły podstawowe 0 ";0;9.098.730;2183551;"Zagospodarowanie i modernizacja dziedzi ń ca wewn ę trznego 0 (patio) przy Szkole Podstawowej nr 6 - ul. Kusoci ń skiego 116 - bud Ŝ et obywatelski";0;123.000
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80101 Szkoły podstawowe 0 ";0;9.098.730;2189571;"Modernizacja i rozbudowa budynku i bazy sportowej SzkołyPodstawowej nr 51 - ul. Ciołkowskiego 11a - bud 0 Ŝ et obywatelski";0;1.200.000
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80101 Szkoły podstawowe 0 ";0;9.098.730;2190831;"Budowa zaplecza sanitarno-szatniowego na terenie boiskaszkolnego przy ul. Grabi 0 ń skiej (osiedle Nowosolna)";0;150.000
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80101 Szkoły podstawowe 0 ";0;9.098.730;2190921;"Modernizacja szatni w budynku Szkoły Podstawowej nr 0 200.000";38;0
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80101 Szkoły podstawowe 0 ";0;9.098.730;2190961;"Modernizacja sanitariatów w budynku Szkoły Podstawowejnr 122 ul. Jesionowa 0 ";0;400.000
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80101 Szkoły podstawowe 0 ";0;9.098.730;2190991;"Rozbudowa Centrum rekreacyjno-sportowego przy SzkolePodstawowej nr 109 ul. Pryncypalna 0 ";0;260.000
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80101 Szkoły podstawowe 0 ";0;9.098.730;2191001;"Zakupy inwestycyjne doposa Ŝ enie 12 szkół w sprz ę t i 0 pomoce dydaktyczne dla 6-latków. Zaplanowane wydatkiprzeznaczone zostan ą na doposa Ŝ enie klas i ś wietlic w Szkołach Podstawowych o nr 122, 45, 38, 5, 10, 138, 4, 164,28, 52, 23, 175";0;120.000
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80101 Szkoły podstawowe 0 ";0;9.098.730;2191011;"Monitoring w Szkole Podstawowej nr 34 przy ul. Ć wikli ń skiej 0 30.000";9;0
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80101 Szkoły podstawowe 0 ";0;9.098.730;2191021;"Modernizacja budynku Szkoły Podstawowej Nr 5 przy ul.Ł 0 ę czyckiej 23";0;100.000
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80101 Szkoły podstawowe 0 ";0;9.098.730;2191031;"Modernizacja budynku Szkoły Podstawowej Nr 125 przy ul.Dzwonowej 18/ 0 60.000";20;0
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80101 Szkoły podstawowe 0 ";0;9.098.730;2191051;"Modernizacja basenu wraz z zapleczem przy SzkolePodstawowej nr 190 przy ul. Malczewskiego 37/ 0 1.000.000";47;0
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80102 Szkoły podstawowe specjalne 0 ";0;20.000;2183002;"Zakup schodołazu dla Zespołu Szkół Specjalnych nr 2 - ul.Karolewska 30/34 - algorytm 0 ";0;20.000
"Wydział Edukacji 0 ";16.422.520;0;16.422.520;"801 O ś wiata i wychowanie 0 ";0;14.913.520;"80104 Przedszkola 0 ";0;1.544.290;2183341;"Doposa Ŝ enie placu zabaw w Przedszkolu Miejskim nr 221 - ul. 0 Ś migłego-Rydza 38 - algorytm";0;10.000
